Timestamp,yaw,pitch,roll,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Label
0.0,3.8508,4.6718,-22.8387,-1.357927,8.395368,5.255386,-0.043448,-0.300622,-0.262634,0
0.1,3.948,4.915,-20.5746,-1.702134,8.319844,4.409015,0.022022,-0.340893,-0.244224,0
0.2,4.1036,5.2072,-19.6058,-1.437368,8.531609,5.132605,0.022419,-0.239612,-0.06747,0
0.3,4.2859,5.4932,-19.7037,-1.349193,8.389595,5.116812,0.116309,-0.200578,-0.049236,0
0.4,4.4634,5.7177,-20.64,-1.510828,7.80778,5.233701,0.029444,-0.257907,-0.032254,0
0.5,4.6046,5.8253,-22.1859,-1.4802,8.37787,4.141976,0.045082,-0.320399,-0.054856,0
0.6,4.5017,5.3177,-24.1349,-1.797249,8.550153,5.229753,0.122142,-0.073334,0.247706,0
0.7,4.2623,5.0544,-26.3193,-1.72367,8.242077,4.11733,-0.033231,0.149601,0.519571,0
0.8,4.2328,4.8232,-27.9711,-1.516571,8.58796,5.307161,-0.167499,0.408485,0.725677,0
0.9,4.451,4.4626,-28.8697,-0.702174,8.58485,4.514897,-0.006506,0.548862,0.669477,0
1.0,4.8118,3.4871,-29.2526,0.088774,8.303812,4.69412,0.007117,0.456774,0.413158,0
1.1,5.5045,2.0351,-29.3429,-0.15015,8.295767,5.759674,0.01489,0.281494,0.11679,0
1.2,5.5759,0.4655,-29.321,-0.345882,8.39462,4.596014,0.048167,0.135062,-0.052046,0
1.3,5.5884,-0.4112,-29.0482,-0.698465,8.631509,4.694239,0.031612,0.038943,-0.0883,0
1.4,5.7946,-1.0471,-28.54,-1.02341,8.882277,4.16734,-0.052198,0.207725,0.152105,0
1.5,5.6253,-1.511,-27.6372,-0.115813,8.521679,4.983412,-0.073609,0.367618,0.268902,0
1.6,5.2169,-1.8725,-26.6809,0.477488,7.988319,4.386403,0.014111,0.171806,-0.092241,0
1.7,4.5517,-1.8798,-25.828,-0.398525,8.638329,4.908995,0.032864,-0.238451,-0.477605,0
1.8,4.5365,-1.7727,-24.4771,-0.743689,8.772686,4.699504,-0.013867,-0.267009,-0.373513,0
1.9,4.7133,-1.2531,-23.2287,-1.71374,8.416395,4.484987,-0.018815,-0.183657,-0.13778,0
2.0,4.6225,-0.6234,-22.5981,-1.041357,8.688818,5.224608,0.009224,0.045387,0.165056,0
2.1,4.3188,-1.3274,-22.8274,-0.675015,8.228438,4.245825,0.055283,0.149754,0.210871,0
2.2,3.6303,-2.3473,-23.8925,-0.261775,8.570851,5.109753,0.011545,0.036285,0.060292,0
2.3,3.3416,-2.7572,-24.5069,-0.950848,8.295916,4.413262,-0.06983,0.007865,0.062156,0
2.4,3.1516,-3.1458,-24.8209,-1.055713,8.412446,4.384249,0.004459,0.103969,0.159039,0
2.5,3.0104,-3.4676,-24.8496,-1.433899,8.66465,5.25404,-0.078191,0.339305,0.407202,0
2.6,3.2873,-3.6507,-24.9319,-0.725982,8.505168,4.826802,0.034208,0.482766,0.426811,0
2.7,3.8429,-3.6684,-25.2816,0.149432,8.235857,4.986642,0.027672,0.251676,0.127182,0
2.8,4.8228,-3.3596,-25.1428,-0.353898,8.781181,4.555695,-0.002535,0.04951,-0.100731,0
2.9,5.7117,-2.2979,-24.8791,-0.816072,8.48794,4.211487,0.044288,0.135184,0.004276,0
3.0,6.4958,-1.4575,-24.3796,-0.519242,8.403952,5.144449,0.006597,0.23561,0.112033,0
3.1,6.7987,-0.8506,-24.3027,-0.244187,8.65472,6.072027,-0.020922,0.158,-0.021564,0
3.2,7.1872,0.1844,-24.413,-0.690928,8.227122,3.568416,-0.143798,-0.025687,-0.18158,0
