Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1769762629092,1.814358,7.018747,6.528817,-0.005956,0.006720,-0.007483
1769762629100,1.788037,6.981658,6.566504,-0.004429,0.008094,-0.007636
1769762629124,1.808974,7.003194,6.579066,-0.003512,0.008247,-0.007483
1769762629141,1.835893,7.000801,6.561120,-0.003971,0.007789,-0.006872
1769762629164,1.841875,6.990033,6.544370,-0.004887,0.008399,-0.008705
1769762629183,1.852643,6.995417,6.567102,-0.005192,0.008399,-0.009621
1769762629205,1.837090,6.991230,6.559325,-0.006261,0.010079,-0.009010
1769762629223,1.823331,6.988837,6.561718,-0.005192,0.009621,-0.010079
1769762629247,1.773082,7.003792,6.582057,-0.006414,0.010385,-0.010996
1769762629264,1.721038,7.015158,6.576075,-0.006109,0.009468,-0.011301
1769762629286,1.705484,6.988238,6.582057,-0.005650,0.010079,-0.009163
1769762629307,1.735993,7.034300,6.558129,-0.003971,0.009163,-0.008705
1769762629324,1.790430,7.044470,6.527620,-0.005040,0.010843,-0.007789
1769762629346,1.766501,7.048657,6.515656,-0.005192,0.009316,-0.008858
1769762629366,1.709672,7.048059,6.554539,-0.005956,0.010996,-0.009774
1769762629387,1.675574,7.033702,6.571289,-0.005650,0.008399,-0.010232
1769762629409,1.696511,7.019943,6.579066,-0.005650,0.007636,-0.008705
1769762629428,1.756930,7.009774,6.576075,-0.004429,0.007941,-0.007178
1769762629447,1.723431,7.000203,6.602396,-0.005345,0.008399,-0.007330
1769762629468,1.663610,6.959525,6.656833,-0.005192,0.007178,-0.008399
1769762629491,1.615155,6.896115,6.698109,-0.005040,0.004581,-0.008094
1769762629509,1.590629,6.886544,6.731608,-0.003818,0.002596,-0.005650
1769762629528,1.674976,6.896115,6.706484,-0.000305,0.002291,-0.001833
1769762629549,1.744966,6.896713,6.685546,-0.000611,0.000458,0.000458
1769762629570,1.810768,6.903892,6.644270,0.000764,-0.001069,0.000305
1769762629589,1.828117,6.941578,6.623931,0.001222,-0.000916,-0.000458
1769762629611,1.802394,6.961319,6.609574,0.000916,0.000458,-0.000611
1769762629633,1.727020,6.964909,6.623333,0.000764,0.000305,-0.000916
1769762629652,1.585843,6.999604,6.641279,-0.000764,-0.002749,-0.001833
1769762629671,1.523630,6.987640,6.646663,0.000305,-0.001222,-0.000153
1769762629693,1.539183,7.028916,6.614958,0.002902,-0.003054,0.004123
1769762629712,1.648057,7.051050,6.561718,0.003971,-0.004581,0.007178
1769762629732,1.731207,7.061818,6.514460,0.005192,-0.006109,0.008552
1769762629751,1.758126,7.070791,6.507879,0.005192,-0.005650,0.007483
1769762629773,1.734198,7.040881,6.530013,0.003818,-0.007330,0.007483
1769762629792,1.691726,7.043273,6.552146,0.003665,-0.006567,0.007025
1769762629812,1.709672,7.013363,6.575477,0.003971,-0.006109,0.007941
1769762629835,1.792822,7.025926,6.557530,0.005650,-0.005803,0.007941
1769762629853,1.852045,7.010970,6.554539,0.004887,-0.005650,0.008399
1769762629875,1.908874,6.988837,6.547959,0.005040,-0.003818,0.009774
1769762629893,1.923231,6.970293,6.578468,0.003360,-0.000764,0.009621
1769762629915,1.948954,6.966703,6.562914,0.002291,-0.000153,0.005650
1769762629935,1.983052,6.996614,6.527022,-0.000305,0.001985,-0.000000
1769762629953,1.986043,7.015756,6.496513,-0.001222,0.004581,-0.000000
1769762629976,1.949552,7.016354,6.501299,-0.004123,0.008094,-0.003512
1769762629994,1.873580,7.000801,6.533004,-0.003818,0.007636,-0.005650
1769762630017,1.773680,6.994819,6.562316,-0.005345,0.006720,-0.009774
1769762630035,1.749153,7.018747,6.558129,-0.004429,0.007789,-0.009163
1769762630058,1.777269,7.048657,6.532406,-0.003665,0.009774,-0.007941
1769762630077,1.845464,7.052247,6.506085,-0.005192,0.010385,-0.009010
1769762630098,1.858625,7.066604,6.485147,-0.005498,0.010079,-0.010385
1769762630116,1.763510,7.060621,6.507879,-0.007483,0.011148,-0.014050
1769762630138,1.654039,7.022934,6.576075,-0.008094,0.010843,-0.013286
1769762630159,1.623530,7.013363,6.584450,-0.006109,0.011148,-0.011912
1769762630179,1.703690,7.017550,6.579664,-0.005192,0.011301,-0.009163
1769762630199,1.788635,7.038488,6.538388,-0.005803,0.011454,-0.009468
1769762630219,1.808376,7.029515,6.549754,-0.006567,0.010690,-0.011759
1769762630243,1.756930,7.016953,6.573084,-0.006720,0.011606,-0.013286
1769762630260,1.725225,6.984051,6.604789,-0.007330,0.011912,-0.013134
1769762630283,1.755734,6.985248,6.611369,-0.007483,0.014203,-0.011148
1769762630301,1.785046,6.984051,6.602396,-0.007636,0.014355,-0.012370
1769762630323,1.785046,6.965507,6.623931,-0.007636,0.013897,-0.013592
1769762630342,1.721636,6.952346,6.642476,-0.011148,0.014813,-0.014661
1769762630361,1.648057,6.927222,6.678368,-0.009927,0.012981,-0.012981
1769762630383,1.602593,6.924829,6.673583,-0.008399,0.013134,-0.011454
1769762630402,1.560719,6.947560,6.693323,-0.006109,0.011606,-0.010996
1769762630424,1.553540,6.949954,6.671189,-0.005498,0.008858,-0.009163
1769762630443,1.564308,6.945168,6.662815,-0.003971,0.006261,-0.006261
1769762630467,1.610968,7.001997,6.625726,-0.002902,0.006567,-0.004276
1769762630487,1.662413,7.009176,6.605985,-0.002291,0.005650,-0.004429
1769762630507,1.631307,6.975676,6.636494,-0.003054,0.003818,-0.004276
1769762630527,1.664208,6.981658,6.629315,-0.001222,0.002749,-0.004123
1769762630547,1.698904,7.005587,6.607182,-0.002138,0.004429,-0.002596
1769762630567,1.762912,7.042675,6.547361,-0.001527,0.004734,-0.002749
1769762630587,1.798804,7.046863,6.524031,-0.002138,0.005345,-0.003360
1769762630607,1.731207,7.028916,6.550950,-0.003818,0.006109,-0.005345
1769762630627,1.631307,7.022934,6.586843,-0.004429,0.004429,-0.007789
1769762630647,1.517050,6.974480,6.661618,-0.005040,0.005650,-0.007941
1769762630673,1.518246,6.946364,6.696314,-0.003818,0.003818,-0.005498
1769762630693,1.612762,6.929615,6.685546,-0.001069,0.002596,-0.002443
1769762630713,1.749752,6.912865,6.667002,0.000611,0.003054,-0.000153
1769762630734,1.841875,6.911070,6.667002,-0.001069,0.003360,-0.000153
1769762630753,1.832304,6.908079,6.661020,-0.003054,0.003207,-0.005040
1769762630772,1.733600,6.874579,6.708877,-0.003054,0.003512,-0.006109
1769762630791,1.674378,6.926025,6.684350,-0.001833,0.003512,-0.005956
1769762630813,1.703092,6.972685,6.620342,-0.002138,0.005345,-0.003360
1769762630832,1.715056,7.000801,6.591628,-0.001527,0.003971,-0.003054
1769762630851,1.691726,7.054639,6.565307,-0.002291,0.004123,-0.005192
1769762630873,1.635494,7.035497,6.580262,-0.002596,0.004581,-0.005650
1769762630892,1.643271,6.998408,6.594021,-0.003054,0.004429,-0.005803
1769762630914,1.682154,7.003194,6.598208,-0.002443,0.008094,-0.004429
1769762630933,1.719841,7.004988,6.601798,-0.003818,0.007025,-0.006109
1769762630955,1.722234,6.984051,6.602396,-0.003818,0.005956,-0.005956
1769762630975,1.689333,6.982256,6.613163,-0.004429,0.006414,-0.006414
1769762630995,1.649253,6.978069,6.631708,-0.004123,0.007636,-0.006720
1769762631015,1.592423,6.975676,6.659823,-0.003360,0.007025,-0.006567
1769762631035,1.539183,6.966703,6.687341,-0.002749,0.004581,-0.005498
1769762631057,1.530808,6.949355,6.673583,-0.001833,0.005040,-0.004276
1769762631076,1.599004,6.967301,6.640681,-0.000611,0.004276,-0.001069
1769762631095,1.655833,7.033104,6.581459,0.001374,0.008247,0.006261
1769762631117,1.713261,7.046265,6.579664,0.000458,0.009468,0.008247
1769762631136,1.701895,6.999006,6.604789,-0.000305,0.009927,0.005803
1769762631158,1.677369,6.932605,6.639484,-0.000764,0.007941,0.002596
1769762631177,1.601995,6.946364,6.688538,-0.001374,0.003207,-0.004429
1769762631199,1.555335,6.953543,6.701100,-0.001680,0.002596,-0.002138
1769762631219,1.478764,6.943373,6.711867,-0.001222,0.000916,-0.003054
1769762631239,1.479363,6.958328,6.702296,-0.000458,-0.001374,0.000153
1769762631261,1.532005,6.993024,6.656833,0.002749,-0.000916,0.004276
1769762631280,1.588834,7.037889,6.602994,0.003360,0.000916,0.011148
1769762631298,1.604986,7.031908,6.575477,0.006109,0.005803,0.018784
1769762631323,1.570290,7.034300,6.598208,0.006261,0.006872,0.022907
1769762631344,1.576272,7.062416,6.579664,0.006872,0.005192,0.019853
1769762631361,1.684547,7.057631,6.537790,0.005192,0.002291,0.017257
1769762631384,1.779662,7.037292,6.503692,0.005650,0.005345,0.017715
1769762631402,1.778465,7.007381,6.559923,0.005345,0.007789,0.017104
1769762631423,1.755734,6.994819,6.601798,0.003665,0.007483,0.013439
1769762631446,1.786242,6.978667,6.609574,0.000305,0.002138,0.003207
1769762631467,1.811965,6.955935,6.600003,0.000153,0.001527,-0.000764
1769762631484,1.819143,6.950552,6.595217,-0.001680,0.002291,-0.000764
1769762631507,1.782055,7.000801,6.595217,-0.003054,0.004276,-0.005192
1769762631527,1.807179,7.006185,6.570691,-0.003665,0.006872,-0.004734
1769762631549,1.785644,7.016953,6.564111,-0.003665,0.008094,-0.005956
1769762631568,1.763510,6.998408,6.576075,-0.004581,0.008247,-0.008247
1769762631587,1.668994,6.986444,6.601200,-0.005345,0.009621,-0.010843
1769762631609,1.639682,7.009176,6.604190,-0.005803,0.009927,-0.010843
1769762631628,1.698904,6.997810,6.593423,-0.005803,0.010385,-0.011148
1769762631653,1.767099,6.990632,6.592227,-0.006872,0.012217,-0.010232
1769762631668,1.806581,6.972685,6.595816,-0.006261,0.013439,-0.012065
1769762631690,1.799403,6.993622,6.592227,-0.007941,0.014508,-0.014508
1769762631710,1.769492,6.972087,6.617351,-0.010079,0.014966,-0.016493
1769762631732,1.660619,6.942775,6.658627,-0.011148,0.016188,-0.018631
1769762631753,1.590629,6.963114,6.674779,-0.012065,0.017410,-0.019700
1769762631771,1.516451,6.942177,6.704091,-0.010996,0.016341,-0.019090
1769762631794,1.427319,6.941578,6.737590,-0.010537,0.016646,-0.016951
1769762631815,1.381855,6.937989,6.759126,-0.008858,0.012523,-0.015424
1769762631831,1.314258,6.949355,6.778268,-0.006109,0.009316,-0.010996
1769762631853,1.393221,6.932007,6.745367,-0.003665,0.006109,-0.003512
1769762631876,1.472184,6.933204,6.734001,-0.002749,0.005192,-0.002902
1769762631894,1.514058,6.954141,6.694520,-0.002596,0.003665,-0.002902
1769762631913,1.412364,6.939186,6.725626,-0.000305,-0.001833,-0.001222
1769762631934,1.311865,6.941578,6.772884,0.001069,-0.002749,-0.000153
1769762631955,1.281955,6.971489,6.742376,0.001069,-0.005040,0.001222
1769762631974,1.290330,6.933802,6.750153,0.003207,-0.009621,0.004887
1769762631993,1.334597,6.972087,6.737590,0.008247,-0.012981,0.013439
1769762632015,1.396810,6.973882,6.704091,0.009010,-0.016035,0.013592
1769762632035,1.509871,6.962516,6.671189,0.012828,-0.018937,0.020922
1769762632056,1.635494,7.033104,6.585646,0.012217,-0.018326,0.020617
1769762632075,1.563710,7.075577,6.578468,0.009621,-0.021838,0.017868
1769762632097,1.501496,7.129415,6.578468,0.008705,-0.022907,0.016951
1769762632117,1.518246,7.082157,6.562914,0.010385,-0.020617,0.020769
1769762632138,1.592423,7.097710,6.506085,0.011301,-0.020311,0.022755
1769762632158,1.658824,7.115656,6.518049,0.009774,-0.020769,0.021533
1769762632177,1.632503,7.115058,6.477969,0.008552,-0.021075,0.019090
1769762632199,1.533799,7.095317,6.542575,0.007941,-0.020617,0.016951
1769762632218,1.514058,7.098309,6.539584,0.010996,-0.021991,0.020159
1769762632238,1.590629,7.046265,6.544968,0.010996,-0.021991,0.021991
1769762632260,1.678565,7.055238,6.529415,0.013897,-0.019242,0.021686
1769762632281,1.779064,7.032506,6.518049,0.013897,-0.017715,0.020159
1769762632301,1.761716,7.026524,6.549156,0.013439,-0.017562,0.017410
1769762632319,1.708475,6.969096,6.642476,0.013134,-0.017562,0.015577
1769762632338,1.621137,6.945168,6.682556,0.012523,-0.019548,0.014661
1769762632360,1.569093,6.891329,6.757929,0.012217,-0.020464,0.016035
1769762632379,1.641476,6.887142,6.718448,0.014050,-0.024587,0.017410
1769762632401,1.749752,6.911668,6.686145,0.014813,-0.025198,0.017562
1769762632420,1.765903,6.888338,6.716653,0.014508,-0.024129,0.020006
1769762632442,1.792822,6.817750,6.725626,0.014508,-0.024587,0.021686
1769762632461,1.688735,6.715457,6.873981,0.014050,-0.027183,0.016951
1769762632483,1.508076,6.634699,6.972685,0.014966,-0.034056,0.016951
1769762632502,1.504487,6.597012,7.134799,0.017868,-0.040470,0.021991
1769762632524,1.521237,6.528817,7.109076,0.024587,-0.037263,0.038332
1769762632543,1.978864,6.600003,6.970293,0.029169,-0.032987,0.054214
1769762632562,2.172683,6.785447,6.647261,0.033445,-0.021838,0.071471
1769762632584,1.794617,7.086943,6.527022,0.045662,0.009927,0.108734
1769762632603,2.394019,7.451250,5.980262,0.065057,0.056352,0.184481
1769762632626,2.552544,7.146763,6.267401,0.046120,0.066432,0.158061
1769762632644,2.761317,7.200003,5.979065,0.027489,0.026267,0.078038
1769762632667,2.917449,7.294520,5.976673,-0.005345,-0.011454,0.002443
1769762632684,2.622534,7.122237,6.002994,-0.041844,-0.073915,-0.122937
1769762632706,2.970689,7.166504,5.928816,-0.086743,-0.173944,-0.304363
1769762632727,2.641078,7.352546,5.959325,-0.130572,-0.250913,-0.465326
1769762632744,2.217548,7.365108,6.034101,-0.149204,-0.284510,-0.527634
1769762632767,1.459024,7.393822,6.171688,-0.151647,-0.284663,-0.537408
1769762632787,0.985843,7.387840,6.300900,-0.152869,-0.278554,-0.530536
1769762632808,0.796810,7.511070,6.510272,-0.124769,-0.237474,-0.454178
1769762632828,0.470788,7.461419,6.385247,-0.088728,-0.138819,-0.280540
1769762632856,0.313460,7.370492,6.640681,-0.049480,-0.108429,-0.220675
1769762632867,0.230907,7.402197,6.619146,-0.004887,-0.035736,-0.084757
1769762632887,1.542174,7.459625,6.126822,-0.003665,0.002291,-0.004581
1769762632907,2.719443,7.097112,5.953941,0.000305,0.049938,0.058032
1769762632929,3.288337,6.822536,6.451050,-0.052076,-0.040164,-0.065821
1769762632947,1.785046,7.077371,5.968298,-0.085063,-0.157756,-0.332921
1769762632974,1.487738,7.085148,6.638288,-0.155160,-0.277943,-0.500298
1769762632988,1.459622,7.679764,6.077171,-0.135765,-0.308487,-0.561996
1769762633010,0.989432,8.322835,5.626722,-0.142942,-0.259618,-0.512668
