Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Label
0.0,1.814358,7.018747,6.528817,-0.005956,0.00672,-0.007483,0
0.008,1.788037,6.981658,6.566504,-0.004429,0.008094,-0.007636,0
0.032,1.808974,7.003194,6.579066,-0.003512,0.008247,-0.007483,0
0.049,1.835893,7.000801,6.56112,-0.003971,0.007789,-0.006872,0
0.072,1.841875,6.990033,6.54437,-0.004887,0.008399,-0.008705,0
0.091,1.852643,6.995417,6.567102,-0.005192,0.008399,-0.009621,0
0.113,1.83709,6.99123,6.559325,-0.006261,0.010079,-0.00901,0
0.131,1.823331,6.988837,6.561718,-0.005192,0.009621,-0.010079,0
0.155,1.773082,7.003792,6.582057,-0.006414,0.010385,-0.010996,0
0.172,1.721038,7.015158,6.576075,-0.006109,0.009468,-0.011301,0
0.194,1.705484,6.988238,6.582057,-0.00565,0.010079,-0.009163,0
0.215,1.735993,7.0343,6.558129,-0.003971,0.009163,-0.008705,0
0.232,1.79043,7.04447,6.52762,-0.00504,0.010843,-0.007789,0
0.254,1.766501,7.048657,6.515656,-0.005192,0.009316,-0.008858,0
0.274,1.709672,7.048059,6.554539,-0.005956,0.010996,-0.009774,0
0.295,1.675574,7.033702,6.571289,-0.00565,0.008399,-0.010232,0
0.317,1.696511,7.019943,6.579066,-0.00565,0.007636,-0.008705,0
0.336,1.75693,7.009774,6.576075,-0.004429,0.007941,-0.007178,0
0.355,1.723431,7.000203,6.602396,-0.005345,0.008399,-0.00733,0
0.376,1.66361,6.959525,6.656833,-0.005192,0.007178,-0.008399,0
0.399,1.615155,6.896115,6.698109,-0.00504,0.004581,-0.008094,0
0.417,1.590629,6.886544,6.731608,-0.003818,0.002596,-0.00565,0
0.436,1.674976,6.896115,6.706484,-0.000305,0.002291,-0.001833,0
0.457,1.744966,6.896713,6.685546,-0.000611,0.000458,0.000458,0
0.478,1.810768,6.903892,6.64427,0.000764,-0.001069,0.000305,0
0.497,1.828117,6.941578,6.623931,0.001222,-0.000916,-0.000458,0
0.519,1.802394,6.961319,6.609574,0.000916,0.000458,-0.000611,0
0.541,1.72702,6.964909,6.623333,0.000764,0.000305,-0.000916,0
0.56,1.585843,6.999604,6.641279,-0.000764,-0.002749,-0.001833,0
0.579,1.52363,6.98764,6.646663,0.000305,-0.001222,-0.000153,0
0.601,1.539183,7.028916,6.614958,0.002902,-0.003054,0.004123,0
0.62,1.648057,7.05105,6.561718,0.003971,-0.004581,0.007178,0
0.64,1.731207,7.061818,6.51446,0.005192,-0.006109,0.008552,0
0.659,1.758126,7.070791,6.507879,0.005192,-0.00565,0.007483,0
0.681,1.734198,7.040881,6.530013,0.003818,-0.00733,0.007483,0
0.7,1.691726,7.043273,6.552146,0.003665,-0.006567,0.007025,0
0.72,1.709672,7.013363,6.575477,0.003971,-0.006109,0.007941,0
0.743,1.792822,7.025926,6.55753,0.00565,-0.005803,0.007941,0
0.761,1.852045,7.01097,6.554539,0.004887,-0.00565,0.008399,0
0.783,1.908874,6.988837,6.547959,0.00504,-0.003818,0.009774,0
0.801,1.923231,6.970293,6.578468,0.00336,-0.000764,0.009621,0
0.823,1.948954,6.966703,6.562914,0.002291,-0.000153,0.00565,0
0.843,1.983052,6.996614,6.527022,-0.000305,0.001985,-0.0,0
0.861,1.986043,7.015756,6.496513,-0.001222,0.004581,-0.0,0
0.884,1.949552,7.016354,6.501299,-0.004123,0.008094,-0.003512,0
0.902,1.87358,7.000801,6.533004,-0.003818,0.007636,-0.00565,0
0.925,1.77368,6.994819,6.562316,-0.005345,0.00672,-0.009774,0
0.943,1.749153,7.018747,6.558129,-0.004429,0.007789,-0.009163,0
0.966,1.777269,7.048657,6.532406,-0.003665,0.009774,-0.007941,0
0.985,1.845464,7.052247,6.506085,-0.005192,0.010385,-0.00901,0
1.006,1.858625,7.066604,6.485147,-0.005498,0.010079,-0.010385,0
1.024,1.76351,7.060621,6.507879,-0.007483,0.011148,-0.01405,0
1.046,1.654039,7.022934,6.576075,-0.008094,0.010843,-0.013286,0
1.067,1.62353,7.013363,6.58445,-0.006109,0.011148,-0.011912,0
1.087,1.70369,7.01755,6.579664,-0.005192,0.011301,-0.009163,0
1.107,1.788635,7.038488,6.538388,-0.005803,0.011454,-0.009468,0
1.127,1.808376,7.029515,6.549754,-0.006567,0.01069,-0.011759,0
1.151,1.75693,7.016953,6.573084,-0.00672,0.011606,-0.013286,0
1.168,1.725225,6.984051,6.604789,-0.00733,0.011912,-0.013134,0
1.191,1.755734,6.985248,6.611369,-0.007483,0.014203,-0.011148,0
1.209,1.785046,6.984051,6.602396,-0.007636,0.014355,-0.01237,0
1.231,1.785046,6.965507,6.623931,-0.007636,0.013897,-0.013592,0
1.25,1.721636,6.952346,6.642476,-0.011148,0.014813,-0.014661,0
1.269,1.648057,6.927222,6.678368,-0.009927,0.012981,-0.012981,0
1.291,1.602593,6.924829,6.673583,-0.008399,0.013134,-0.011454,0
1.31,1.560719,6.94756,6.693323,-0.006109,0.011606,-0.010996,0
1.332,1.55354,6.949954,6.671189,-0.005498,0.008858,-0.009163,0
1.351,1.564308,6.945168,6.662815,-0.003971,0.006261,-0.006261,0
1.375,1.610968,7.001997,6.625726,-0.002902,0.006567,-0.004276,0
1.395,1.662413,7.009176,6.605985,-0.002291,0.00565,-0.004429,0
1.415,1.631307,6.975676,6.636494,-0.003054,0.003818,-0.004276,0
1.435,1.664208,6.981658,6.629315,-0.001222,0.002749,-0.004123,0
1.455,1.698904,7.005587,6.607182,-0.002138,0.004429,-0.002596,0
1.475,1.762912,7.042675,6.547361,-0.001527,0.004734,-0.002749,0
1.495,1.798804,7.046863,6.524031,-0.002138,0.005345,-0.00336,0
1.515,1.731207,7.028916,6.55095,-0.003818,0.006109,-0.005345,0
1.535,1.631307,7.022934,6.586843,-0.004429,0.004429,-0.007789,0
1.555,1.51705,6.97448,6.661618,-0.00504,0.00565,-0.007941,0
1.581,1.518246,6.946364,6.696314,-0.003818,0.003818,-0.005498,0
1.601,1.612762,6.929615,6.685546,-0.001069,0.002596,-0.002443,0
1.621,1.749752,6.912865,6.667002,0.000611,0.003054,-0.000153,0
1.642,1.841875,6.91107,6.667002,-0.001069,0.00336,-0.000153,0
1.661,1.832304,6.908079,6.66102,-0.003054,0.003207,-0.00504,0
1.68,1.7336,6.874579,6.708877,-0.003054,0.003512,-0.006109,0
1.699,1.674378,6.926025,6.68435,-0.001833,0.003512,-0.005956,0
1.721,1.703092,6.972685,6.620342,-0.002138,0.005345,-0.00336,0
1.74,1.715056,7.000801,6.591628,-0.001527,0.003971,-0.003054,0
1.759,1.691726,7.054639,6.565307,-0.002291,0.004123,-0.005192,0
1.781,1.635494,7.035497,6.580262,-0.002596,0.004581,-0.00565,0
1.8,1.643271,6.998408,6.594021,-0.003054,0.004429,-0.005803,0
1.822,1.682154,7.003194,6.598208,-0.002443,0.008094,-0.004429,0
1.841,1.719841,7.004988,6.601798,-0.003818,0.007025,-0.006109,0
1.863,1.722234,6.984051,6.602396,-0.003818,0.005956,-0.005956,0
1.883,1.689333,6.982256,6.613163,-0.004429,0.006414,-0.006414,0
1.903,1.649253,6.978069,6.631708,-0.004123,0.007636,-0.00672,0
1.923,1.592423,6.975676,6.659823,-0.00336,0.007025,-0.006567,0
1.943,1.539183,6.966703,6.687341,-0.002749,0.004581,-0.005498,0
1.965,1.530808,6.949355,6.673583,-0.001833,0.00504,-0.004276,0
1.984,1.599004,6.967301,6.640681,-0.000611,0.004276,-0.001069,0
2.003,1.655833,7.033104,6.581459,0.001374,0.008247,0.006261,0
2.025,1.713261,7.046265,6.579664,0.000458,0.009468,0.008247,0
2.044,1.701895,6.999006,6.604789,-0.000305,0.009927,0.005803,0
2.066,1.677369,6.932605,6.639484,-0.000764,0.007941,0.002596,0
2.085,1.601995,6.946364,6.688538,-0.001374,0.003207,-0.004429,0
2.107,1.555335,6.953543,6.7011,-0.00168,0.002596,-0.002138,0
2.127,1.478764,6.943373,6.711867,-0.001222,0.000916,-0.003054,0
2.147,1.479363,6.958328,6.702296,-0.000458,-0.001374,0.000153,0
2.169,1.532005,6.993024,6.656833,0.002749,-0.000916,0.004276,0
2.188,1.588834,7.037889,6.602994,0.00336,0.000916,0.011148,0
2.206,1.604986,7.031908,6.575477,0.006109,0.005803,0.018784,0
2.231,1.57029,7.0343,6.598208,0.006261,0.006872,0.022907,0
2.252,1.576272,7.062416,6.579664,0.006872,0.005192,0.019853,0
2.269,1.684547,7.057631,6.53779,0.005192,0.002291,0.017257,0
2.292,1.779662,7.037292,6.503692,0.00565,0.005345,0.017715,0
2.31,1.778465,7.007381,6.559923,0.005345,0.007789,0.017104,0
2.331,1.755734,6.994819,6.601798,0.003665,0.007483,0.013439,0
2.354,1.786242,6.978667,6.609574,0.000305,0.002138,0.003207,0
2.375,1.811965,6.955935,6.600003,0.000153,0.001527,-0.000764,0
2.392,1.819143,6.950552,6.595217,-0.00168,0.002291,-0.000764,0
2.415,1.782055,7.000801,6.595217,-0.003054,0.004276,-0.005192,0
2.435,1.807179,7.006185,6.570691,-0.003665,0.006872,-0.004734,0
2.457,1.785644,7.016953,6.564111,-0.003665,0.008094,-0.005956,0
2.476,1.76351,6.998408,6.576075,-0.004581,0.008247,-0.008247,0
2.495,1.668994,6.986444,6.6012,-0.005345,0.009621,-0.010843,0
2.517,1.639682,7.009176,6.60419,-0.005803,0.009927,-0.010843,0
2.536,1.698904,6.99781,6.593423,-0.005803,0.010385,-0.011148,0
2.561,1.767099,6.990632,6.592227,-0.006872,0.012217,-0.010232,0
2.576,1.806581,6.972685,6.595816,-0.006261,0.013439,-0.012065,0
2.598,1.799403,6.993622,6.592227,-0.007941,0.014508,-0.014508,0
2.618,1.769492,6.972087,6.617351,-0.010079,0.014966,-0.016493,0
2.64,1.660619,6.942775,6.658627,-0.011148,0.016188,-0.018631,0
2.661,1.590629,6.963114,6.674779,-0.012065,0.01741,-0.0197,0
2.679,1.516451,6.942177,6.704091,-0.010996,0.016341,-0.01909,0
2.702,1.427319,6.941578,6.73759,-0.010537,0.016646,-0.016951,0
2.723,1.381855,6.937989,6.759126,-0.008858,0.012523,-0.015424,0
2.739,1.314258,6.949355,6.778268,-0.006109,0.009316,-0.010996,0
2.761,1.393221,6.932007,6.745367,-0.003665,0.006109,-0.003512,0
2.784,1.472184,6.933204,6.734001,-0.002749,0.005192,-0.002902,0
2.802,1.514058,6.954141,6.69452,-0.002596,0.003665,-0.002902,0
2.821,1.412364,6.939186,6.725626,-0.000305,-0.001833,-0.001222,0
2.842,1.311865,6.941578,6.772884,0.001069,-0.002749,-0.000153,0
2.863,1.281955,6.971489,6.742376,0.001069,-0.00504,0.001222,0
2.882,1.29033,6.933802,6.750153,0.003207,-0.009621,0.004887,0
2.901,1.334597,6.972087,6.73759,0.008247,-0.012981,0.013439,0
2.923,1.39681,6.973882,6.704091,0.00901,-0.016035,0.013592,0
2.943,1.509871,6.962516,6.671189,0.012828,-0.018937,0.020922,0
2.964,1.635494,7.033104,6.585646,0.012217,-0.018326,0.020617,0
2.983,1.56371,7.075577,6.578468,0.009621,-0.021838,0.017868,0
3.005,1.501496,7.129415,6.578468,0.008705,-0.022907,0.016951,0
3.025,1.518246,7.082157,6.562914,0.010385,-0.020617,0.020769,0
3.046,1.592423,7.09771,6.506085,0.011301,-0.020311,0.022755,0
3.066,1.658824,7.115656,6.518049,0.009774,-0.020769,0.021533,0
3.085,1.632503,7.115058,6.477969,0.008552,-0.021075,0.01909,0
3.107,1.533799,7.095317,6.542575,0.007941,-0.020617,0.016951,0
3.126,1.514058,7.098309,6.539584,0.010996,-0.021991,0.020159,0
3.146,1.590629,7.046265,6.544968,0.010996,-0.021991,0.021991,0
3.168,1.678565,7.055238,6.529415,0.013897,-0.019242,0.021686,0
3.189,1.779064,7.032506,6.518049,0.013897,-0.017715,0.020159,0
3.209,1.761716,7.026524,6.549156,0.013439,-0.017562,0.01741,0
3.227,1.708475,6.969096,6.642476,0.013134,-0.017562,0.015577,0
3.246,1.621137,6.945168,6.682556,0.012523,-0.019548,0.014661,0
3.268,1.569093,6.891329,6.757929,0.012217,-0.020464,0.016035,0
3.287,1.641476,6.887142,6.718448,0.01405,-0.024587,0.01741,0
3.309,1.749752,6.911668,6.686145,0.014813,-0.025198,0.017562,0
3.328,1.765903,6.888338,6.716653,0.014508,-0.024129,0.020006,0
3.35,1.792822,6.81775,6.725626,0.014508,-0.024587,0.021686,0
3.369,1.688735,6.715457,6.873981,0.01405,-0.027183,0.016951,0
3.391,1.508076,6.634699,6.972685,0.014966,-0.034056,0.016951,0
3.41,1.504487,6.597012,7.134799,0.017868,-0.04047,0.021991,0
3.432,1.521237,6.528817,7.109076,0.024587,-0.037263,0.038332,0
3.451,1.978864,6.600003,6.970293,0.029169,-0.032987,0.054214,0
3.47,2.172683,6.785447,6.647261,0.033445,-0.021838,0.071471,0
3.492,1.794617,7.086943,6.527022,0.045662,0.009927,0.108734,0
3.511,2.394019,7.45125,5.980262,0.065057,0.056352,0.184481,0
3.534,2.552544,7.146763,6.267401,0.04612,0.066432,0.158061,0
3.552,2.761317,7.200003,5.979065,0.027489,0.026267,0.078038,0
3.575,2.917449,7.29452,5.976673,-0.005345,-0.011454,0.002443,0
3.592,2.622534,7.122237,6.002994,-0.041844,-0.073915,-0.122937,0
3.614,2.970689,7.166504,5.928816,-0.086743,-0.173944,-0.304363,0
3.635,2.641078,7.352546,5.959325,-0.130572,-0.250913,-0.465326,0
3.652,2.217548,7.365108,6.034101,-0.149204,-0.28451,-0.527634,0
3.675,1.459024,7.393822,6.171688,-0.151647,-0.284663,-0.537408,0
3.695,0.985843,7.38784,6.3009,-0.152869,-0.278554,-0.530536,0
3.716,0.79681,7.51107,6.510272,-0.124769,-0.237474,-0.454178,0
3.736,0.470788,7.461419,6.385247,-0.088728,-0.138819,-0.28054,0
3.764,0.31346,7.370492,6.640681,-0.04948,-0.108429,-0.220675,0
3.775,0.230907,7.402197,6.619146,-0.004887,-0.035736,-0.084757,0
3.795,1.542174,7.459625,6.126822,-0.003665,0.002291,-0.004581,0
3.815,2.719443,7.097112,5.953941,0.000305,0.049938,0.058032,0
3.837,3.288337,6.822536,6.45105,-0.052076,-0.040164,-0.065821,0
3.855,1.785046,7.077371,5.968298,-0.085063,-0.157756,-0.332921,0
3.882,1.487738,7.085148,6.638288,-0.15516,-0.277943,-0.500298,0
3.896,1.459622,7.679764,6.077171,-0.135765,-0.308487,-0.561996,0
3.918,0.989432,8.322835,5.626722,-0.142942,-0.259618,-0.512668,0
3.937,0.661017,8.168498,5.699105,-0.098807,-0.143095,-0.360258,0
3.959,2.1003,7.82453,6.082555,-0.084299,-0.078343,-0.230296,0
3.978,1.877768,7.241878,6.327819,-0.082161,-0.061392,-0.221286,0
4.001,1.027717,7.35793,6.224928,-0.101709,-0.064294,-0.28619,0
4.02,1.135394,7.82453,5.921638,-0.075136,-0.037263,-0.234267,0
4.042,0.917647,7.677969,6.016753,-0.081856,-0.027031,-0.223424,0
4.062,1.02353,7.383653,5.983851,-0.07758,-0.010537,-0.1996,0
4.08,1.58704,7.369894,6.135197,-0.092393,-0.025504,-0.199295,0
4.099,1.478166,7.538588,6.214758,-0.092699,-0.023976,-0.227089,0
4.125,1.339383,7.313663,6.513862,-0.103083,-0.009621,-0.219453,0
4.14,0.848256,7.150352,6.289534,-0.091477,0.004276,-0.209679,0
4.162,0.135793,7.380661,6.345766,-0.090408,0.004429,-0.214414,0
4.181,0.623928,7.042077,6.727421,-0.108734,-0.025809,-0.21365,0
4.203,0.469591,7.000801,6.160322,-0.102473,-0.026878,-0.21701,0
4.222,1.073181,7.466205,6.863812,-0.098197,-0.014508,-0.192881,0
4.241,1.162912,7.351948,6.025726,-0.077885,0.01405,-0.150425,0
4.263,0.750748,7.704889,6.314659,-0.073609,0.046578,-0.136681,0
4.283,1.045065,6.539584,6.574878,-0.07926,0.046578,-0.111941,0
4.303,0.997807,6.85783,7.587042,-0.065057,0.034667,-0.133779,0
4.325,0.760918,6.201598,7.910073,-0.084757,0.014661,-0.144317,0
4.343,0.136989,5.454439,7.406384,-0.062766,-0.059559,-0.249691,0
