Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Label
0.0,1.82363,6.998308,6.55783,-0.004658,0.007941,-0.007967,0
0.1,1.772005,6.997451,6.572246,-0.005925,0.009926,-0.01011,0
0.2,1.735634,7.041838,6.545447,-0.005162,0.009743,-0.009072,0
0.3,1.691127,6.977112,6.622496,-0.005131,0.007147,-0.007941,0
0.4,1.729891,6.904968,6.678368,-0.00055,0.000672,-0.001436,0
0.5,1.659722,6.978368,6.630212,0.000305,-0.000802,-0.000878,0
0.6,1.682154,7.050691,6.545806,0.004215,-0.005345,0.006964,0
0.7,1.791028,7.016474,6.55753,0.004643,-0.005589,0.008216,0
0.8,1.958166,6.993144,6.533243,0.0,0.002749,0.002352,0
0.9,1.803829,7.023054,6.538388,-0.00449,0.008461,-0.008308,0
1.0,1.720679,7.036214,6.546643,-0.006475,0.010904,-0.011759,0
1.1,1.76698,7.010851,6.575477,-0.006781,0.011973,-0.011759,0
1.2,1.708476,6.950791,6.644151,-0.008949,0.013836,-0.013012,0
1.3,1.59039,6.970771,6.651808,-0.004154,0.007788,-0.007025,0
1.4,1.711227,7.010492,6.588877,-0.002016,0.004215,-0.003421,0
1.5,1.599452,6.993174,6.623931,-0.004276,0.005002,-0.006643,0
1.6,1.740778,6.910372,6.678966,-0.001578,0.003207,-0.003309,0
1.7,1.686342,7.015906,6.589385,-0.002138,0.004505,-0.004314,0
1.8,1.691367,6.994579,6.601917,-0.003512,0.006384,-0.005742,0
1.9,1.582134,6.967421,6.658627,-0.002535,0.005712,-0.004826,0
2.0,1.670071,6.991469,6.618787,-0.000122,0.007758,0.003696,0
2.1,1.52686,6.977231,6.675018,0.00055,0.000428,0.002077,0
2.2,1.643151,7.044709,6.558966,0.006017,0.005101,0.019303,0
2.3,1.79031,6.977471,6.593303,0.001558,0.004246,0.006444,0
2.4,1.761476,7.001758,6.581459,-0.004062,0.007422,-0.006994,0
2.5,1.742334,6.992785,6.595577,-0.006536,0.012095,-0.011759,0
2.6,1.634298,6.955038,6.663712,-0.011072,0.016226,-0.018479,0
2.7,1.397767,6.938827,6.75087,-0.006384,0.009957,-0.009957,0
2.8,1.362114,6.948039,6.737112,0.000489,-0.003116,0.000366,0
2.9,1.488096,7.003433,6.655397,0.010385,-0.017623,0.017288,0
3.0,1.580698,7.107999,6.528697,0.009743,-0.021136,0.02022,0
3.1,1.619223,7.065527,6.534918,0.011545,-0.020311,0.020189,0
3.2,1.660379,6.943852,6.670113,0.013073,-0.019945,0.016219,0
3.3,1.701058,6.793582,6.795018,0.014569,-0.027031,0.018631,0
3.4,1.794378,6.719644,6.87769,0.030146,-0.024526,0.058948,0
3.5,2.649573,7.242955,6.041279,0.018295,0.012736,0.060017,0
3.6,2.054836,7.333164,6.078966,-0.134207,-0.254517,-0.473053,0
3.7,0.670828,7.440961,6.456434,-0.054306,-0.103633,-0.208946,0
3.8,2.148037,7.152386,6.21775,-0.085552,-0.146882,-0.280601,0
3.9,1.407129,7.889435,5.93405,-0.102052,-0.135612,-0.331127,0
4.0,1.194916,7.525427,6.082854,-0.086896,-0.031434,-0.228311,0
4.1,0.73684,7.221688,6.469146,-0.098426,-0.006681,-0.214299,0
4.2,0.900299,7.212685,6.387879,-0.086285,0.013164,-0.161788,0
4.3,0.7468,6.17085,7.685746,-0.071349,-0.044226,-0.223943,0
4.4,0.867637,6.197171,7.501619,-0.119424,-0.17147,-0.364106,0
4.5,0.803988,6.373403,7.429953,-0.108826,-0.117378,-0.25641,0
4.6,-0.066042,6.589595,7.3943,-0.110475,-0.347155,-0.499871,0
4.7,-0.298624,7.028199,7.140662,-0.016157,-0.115118,-0.137017,0
4.8,-0.0201,7.009894,6.953782,0.138636,0.214169,0.445992,0
4.9,0.957847,7.506045,6.135795,0.166919,0.317986,0.589332,0
5.0,1.014916,7.226205,6.41085,0.084757,0.235,0.336495,0
5.1,1.035973,7.265447,6.205786,0.018509,0.083292,0.035277,0
5.2,0.916212,6.955935,6.859026,-0.071105,-0.123853,-0.356501,0
5.3,0.733639,6.918248,6.650731,-0.114476,-0.251004,-0.516792,0
5.4,0.760469,6.76436,7.456484,-0.169134,-0.402522,-0.77263,0
5.5,-0.970409,6.742974,7.593384,-0.138055,-0.463738,-0.718774,0
5.6,-3.104448,7.416195,7.104291,0.240192,0.00788,0.302561,0
5.7,-0.333081,7.062416,6.559684,0.544372,0.808632,1.655871,0
5.8,1.572444,6.863573,6.523074,0.472015,0.940701,1.621785,0
5.9,1.014796,7.089335,5.831787,0.259343,0.5448,0.814741,0
6.0,1.382334,7.48116,6.754699,0.138758,0.392297,0.524061,0
6.1,1.461656,7.303971,6.103492,0.064385,0.311633,0.390251,0
6.2,1.435215,7.277172,6.15434,0.093798,0.290741,0.308975,0
6.3,1.906481,7.36786,5.878567,0.042119,0.230205,0.219117,0
6.4,2.578266,7.00768,6.017351,-0.035774,0.141721,0.008819,0
6.5,1.527459,7.251329,6.572486,-0.152288,-0.0197,-0.245567,0
6.6,1.208854,6.969455,6.74417,-0.147035,-0.122417,-0.359005,0
6.7,0.358325,7.13779,6.609574,0.017379,0.005834,0.058215,0
6.8,1.651765,7.142097,6.575836,0.030452,0.289092,0.477055,0
6.9,2.587,6.528936,6.203632,-0.038607,0.078435,0.014966,0
7.0,0.809851,7.008577,7.414281,-0.161574,-0.147707,-0.224676,0
7.1,0.460379,7.069355,6.679325,0.057177,0.071593,0.210137,0
7.2,0.276969,6.96431,6.922795,0.162429,0.47959,0.963456,0
7.3,1.386042,6.304848,7.095437,0.294193,0.895375,1.318399,0
7.4,2.776631,6.303293,6.304848,0.294681,0.804692,1.003865,0
7.5,4.656194,6.06425,5.710711,-0.115881,0.101923,-0.409066,0
7.6,2.076372,6.789933,7.803742,-0.424436,-0.502131,-1.306525,0
7.7,0.867897,6.897012,6.74756,-0.314214,-0.624736,-1.07782,0
7.8,-0.154038,7.639685,7.077072,0.02119,0.016837,0.030353,0
7.9,-0.168096,6.527022,5.828438,0.189948,0.20128,0.693271,0
8.0,1.497548,7.077969,7.318448,0.128618,0.695958,0.998703,0
8.1,2.914219,7.192107,7.19761,0.253448,0.581421,0.722531,0
8.2,1.2134,6.760801,7.625328,0.045326,0.269911,0.180968,0
8.3,5.381458,5.864689,11.411012,0.153999,0.175135,-0.106382,0
8.4,-0.935953,6.023811,-0.305683,-0.121104,-0.041325,-0.810801,0
8.5,0.924347,7.230751,10.795578,0.091935,0.018051,-0.144928,0
8.6,0.120957,7.666843,4.330172,0.367252,0.576382,0.949223,0
8.7,3.644867,5.784349,10.419247,0.139926,0.466166,0.293788,0
8.8,2.678765,6.839485,5.202695,-0.116472,-0.13971,-1.029129,0
8.9,-0.232223,4.86736,5.157729,-0.172233,-0.444679,-0.690216,0
9.0,3.314059,6.385995,11.970095,-0.865748,-0.400384,-0.105412,0
9.1,0.804467,8.517611,6.256513,-0.79504,-0.227455,0.585514,0
9.2,-0.702054,6.524509,4.883631,0.34407,0.26142,0.355737,0
9.3,1.587399,4.970969,9.071909,0.301126,0.509034,0.970542,0
9.4,2.914338,5.101259,7.151309,0.251187,0.228067,0.032467,0
9.5,1.884228,7.267481,5.043233,0.242025,-0.047098,-0.610559,0
9.6,2.24698,8.87474,6.240721,0.15687,-0.087628,-0.368016,0
9.7,0.474018,5.029115,8.010093,-0.50436,-0.447367,-0.999863,0
9.8,-1.264487,7.017431,7.248219,-0.131947,-0.232526,-0.243674,0
9.9,1.241636,6.333203,7.402436,0.117011,0.168079,0.4408,0
10.0,2.888496,5.841598,7.172247,-0.147341,-0.204243,-0.281151,0
10.1,-0.275623,7.372137,7.106384,-0.122364,-0.432034,-0.653931,0
10.2,-0.902573,6.923872,7.360801,0.099113,-0.033262,0.120249,0
10.3,0.862254,7.117331,6.25747,0.236557,0.371956,0.721737,0
10.4,1.279442,6.471389,6.773483,0.025901,0.15684,0.172478,0
10.5,1.285185,6.997212,6.832944,-0.085552,-0.256594,-0.544525,0
10.6,0.365862,7.244988,6.541858,-0.009621,-0.22657,-0.35253,0
10.7,0.256271,7.443712,6.815596,-0.046701,-0.182007,-0.187383,0
10.8,-0.343011,6.949235,6.919564,0.074556,-0.03488,0.098991,0
10.9,0.971127,6.950432,6.929375,0.133474,0.145202,0.375468,0
11.0,1.359841,7.152626,6.123353,-0.019548,0.064538,0.103328,0
11.1,1.021376,6.939305,6.7876,-0.087659,-0.091844,-0.297063,0
11.2,0.28343,6.777192,7.055956,-0.108795,-0.136681,-0.259343,0
