timestamp,yaw,pitch,roll
0.0,-0.5487,-9.3062,-27.1935
0.1,-0.6738,-12.0162,-25.3404
0.2,-0.7272,-13.7546,-24.4655
0.3,-0.7224,-14.7089,-24.297
0.4,-0.6726,-15.0672,-24.5631
0.5,-0.5914,-15.017,-24.9918
0.6,-0.3793,-14.5771,-25.3052
0.7,-0.4283,-14.5569,-24.6486
0.8,-0.2649,-14.6031,-23.5742
0.9,-0.1586,-14.704,-22.3669
1.0,-0.0693,-15.169,-21.0503
1.1,0.1451,-15.0013,-19.6432
1.2,0.2079,-14.1006,-19.0065
1.3,0.458,-13.7095,-18.4631
1.4,0.3464,-13.449,-18.0939
1.5,-0.0159,-13.448,-17.7885
1.6,-0.144,-13.2865,-17.4978
1.7,-0.7604,-13.2595,-17.8507
1.8,-1.3075,-13.282,-17.8417
1.9,-1.6666,-13.2136,-17.6645
2.0,-2.0745,-12.9872,-17.6135
2.1,-2.5818,-12.7234,-17.4252
2.2,-3.2112,-11.3425,-18.0349
2.3,-3.2944,-11.1726,-17.9833
2.4,-3.5915,-11.2742,-17.4518
2.5,-3.7455,-11.8158,-16.9156
2.6,-3.7134,-12.5493,-16.2012
2.7,-4.3206,-13.6874,-16.1412
2.8,-5.3344,-14.0418,-16.2109
2.9,-7.3189,-13.4081,-16.6087
3.0,-10.3044,-12.018,-17.3319
3.1,-13.8579,-10.4333,-18.2331
3.2,-17.3629,-8.301,-19.5456
3.3,-20.1935,-7.1907,-20.3045
3.4,-22.4486,-6.3377,-20.6165
3.5,-23.5896,-5.9967,-20.7293
3.6,-23.726,-6.1501,-20.4414
3.7,-23.2786,-6.8042,-20.2546
3.8,-22.7213,-6.9731,-20.1839
3.9,-22.6038,-7.142,-20.1132
4.0,-22.4863,-7.3109,-20.0425
4.1,-22.3688,-7.4798,-19.9718
4.2,-22.2513,-7.6487,-19.9011
4.3,-22.1338,-7.8177,-19.8305
4.4,-22.0163,-7.9866,-19.7598
4.5,-21.8988,-8.1555,-19.6891
4.6,-21.7813,-8.3244,-19.6184
4.7,-21.6638,-8.4933,-19.5477
4.8,-21.5463,-8.6622,-19.477
4.9,-21.4288,-8.8311,-19.4063
5.0,-21.3113,-9.0001,-19.3357
5.1,-21.1938,-9.169,-19.265
5.2,-21.0763,-9.3379,-19.1943
5.3,-20.9587,-9.5068,-19.1236
5.4,-20.8412,-9.6757,-19.0529
5.5,-20.7237,-9.8446,-18.9822
5.6,-20.6062,-10.0136,-18.9116
5.7,-20.4887,-10.1825,-18.8409
5.8,-20.3712,-10.3514,-18.7702
5.9,-20.2537,-10.5203,-18.6995
6.0,-20.1362,-10.6892,-18.6288
6.1,-20.0187,-10.8581,-18.5581
6.2,-19.9012,-11.027,-18.4874
6.3,-19.7837,-11.196,-18.4168
6.4,-19.6662,-11.3649,-18.3461
6.5,-19.5487,-11.5338,-18.2754
6.6,-19.4312,-11.7027,-18.2047
6.7,-19.3137,-11.8716,-18.134
6.8,-19.1962,-12.0405,-18.0633
6.9,-19.1276,-12.3121,-17.9927
7.0,-19.1029,-12.5218,-18.0055
7.1,-18.7899,-12.6387,-17.7201
7.2,-18.7821,-12.4318,-17.6923
7.3,-18.3354,-12.3985,-17.5689
7.4,-17.6869,-11.9942,-17.3554
7.5,-17.0236,-11.3415,-17.458
7.6,-16.2658,-10.6089,-17.8507
7.7,-15.8038,-9.9472,-18.8488
7.8,-14.8677,-9.5769,-19.7068
7.9,-14.0277,-9.4843,-20.5964
8.0,-13.1765,-9.919,-21.4709
8.1,-12.7171,-10.3866,-21.8574
8.2,-12.7045,-11.1571,-21.847
8.3,-13.6885,-11.174,-21.6614
8.4,-15.1239,-10.7309,-21.0161
8.5,-17.0095,-9.9849,-20.4174
8.6,-18.0836,-10.1454,-19.4505
8.7,-19.4302,-10.3234,-18.8947
8.8,-19.9278,-10.064,-18.0861
8.9,-20.3378,-9.7639,-17.8757
9.0,-20.3832,-9.2397,-17.9842
9.1,-20.205,-8.9202,-18.2905
9.2,-19.7257,-9.0513,-18.4329
9.3,-19.9972,-8.6386,-19.2421
9.4,-19.6289,-8.1584,-20.3004
9.5,-19.5036,-7.303,-20.9624
9.6,-19.0272,-6.9665,-21.0382
9.7,-19.4354,-5.9297,-21.1766
9.8,-20.0973,-4.2741,-21.2142
9.9,-21.1501,-2.5907,-21.4781
10.0,-22.2834,-0.722,-21.7451
10.1,-23.1613,0.1855,-22.1493
10.2,-23.8347,0.3874,-22.5705
10.3,-24.172,0.0856,-23.4244
10.4,-24.4883,0.6812,-24.9737
10.5,-24.6511,0.5812,-25.9342
10.6,-24.8018,-0.3462,-26.7492
10.7,-24.7351,-0.7934,-27.0811
10.8,-24.3944,-1.4682,-27.1196
10.9,-24.4727,-2.498,-27.1585
11.0,-24.6107,-3.0188,-26.5193
11.1,-24.3689,-3.5198,-25.7365
11.2,-23.55,-4.6637,-25.2167
11.3,-22.3672,-4.7478,-25.2
11.4,-20.9667,-4.3673,-25.9708
11.5,-19.243,-5.3237,-27.0573
11.6,-17.5566,-6.4874,-28.2695
11.7,-15.5711,-7.1964,-29.1614
11.8,-13.3055,-7.9869,-30.1879
11.9,-11.9063,-8.8051,-31.3999
12.0,-10.5609,-8.8546,-31.717
12.1,-9.066,-8.6651,-31.9523
12.2,-7.4445,-8.5896,-32.2809
12.3,-6.0183,-7.2645,-32.6992
12.4,-4.7384,-5.6611,-33.3533
12.5,-3.7893,-4.6142,-34.045
12.6,-2.7173,-3.4158,-34.2212
12.7,-2.2152,-2.1176,-34.1471
12.8,-1.747,-0.6836,-33.7921
12.9,-1.9662,0.354,-33.2245
13.0,-2.3444,0.9048,-31.9726
13.1,-3.0192,0.9029,-30.4016
13.2,-3.8014,0.0457,-28.8576
13.3,-4.3806,-1.551,-26.9433
13.4,-4.6889,-3.1508,-25.3258
13.5,-4.8246,-5.1966,-23.8364
13.6,-4.4969,-7.0335,-22.1149
13.7,-4.7948,-8.532,-20.8215
13.8,-5.1654,-10.0659,-19.69
13.9,-5.4174,-10.9371,-18.7747
14.0,-5.6351,-11.564,-18.2558
14.1,-5.9946,-11.97,-18.2275
14.2,-6.4775,-12.4894,-18.7122
14.3,-6.8387,-12.6181,-19.2743
14.4,-6.8835,-12.1226,-20.1965
14.5,-6.8865,-11.7187,-20.9158
14.6,-6.4717,-11.4372,-21.1215
14.7,-6.523,-11.2106,-21.3702
14.8,-6.5503,-10.8622,-21.5041
14.9,-6.0289,-9.9212,-21.53
15.0,-5.2232,-9.1357,-21.9014
15.1,-4.6603,-8.2429,-22.413
15.2,-4.3619,-7.6257,-22.8277
15.3,-3.9628,-6.7148,-22.9949
15.4,-3.4377,-5.7546,-22.7213
15.5,-3.7262,-5.2291,-22.4401
15.6,-3.9409,-5.0451,-22.0582
15.7,-4.1407,-5.4666,-21.7252
15.8,-3.903,-5.3342,-21.2918
15.9,-3.2364,-5.4352,-21.1072
16.0,-2.9031,-5.44,-21.226
16.1,-2.4022,-4.5423,-21.682
16.2,-1.7487,-3.1519,-22.1627
16.3,-0.9409,-1.3778,-22.5093
16.4,-0.4048,0.3705,-22.8243
16.5,-0.1495,2.0821,-23.8268
16.6,0.6287,2.9647,-24.8167
16.7,1.3748,3.2853,-25.7751
16.8,1.9862,2.951,-26.607
16.9,2.3602,1.8688,-27.2175
17.0,2.3941,-0.0541,-27.5117
