Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Label
0.028,-0.920639,8.670991,5.809175,0.033445,-0.054367,-0.014661,0
0.042,-1.555335,8.769096,3.937988,0.016951,-0.064599,-0.027642,0
0.060,-0.972084,8.140981,4.962116,-0.010232,-0.074220,-0.026420,0
0.083,-0.690928,8.233703,3.731009,0.043066,-0.071777,-0.028405,0
0.103,-0.589233,8.912666,6.193821,-0.027794,-0.075747,-0.032681,0
0.122,-1.333999,9.349955,2.964707,0.028252,-0.053451,-0.037110,0
0.143,-0.533001,8.047661,5.275576,-0.009010,-0.065363,-0.025504,0
0.164,-1.727618,8.984451,3.784847,0.093004,-0.022907,-0.036499,0
0.183,-0.817747,8.938987,2.168495,-0.169057,-0.090561,0.002902,0
0.205,-0.588634,8.251051,5.452645,-0.029627,-0.025656,0.011759,0
0.226,-0.899103,8.545368,6.977471,0.225715,0.072693,0.013897,0
0.244,-1.088734,8.724830,3.414558,0.140957,0.045662,0.014966,0
0.265,-0.559920,8.492725,5.084150,-0.078649,-0.041233,-0.011454,0
0.284,-0.457627,8.240283,1.227518,0.061850,-0.000916,-0.010232,0
0.305,-0.595215,9.257831,4.695914,-0.010996,0.031765,0.014203,0
0.324,-1.105484,8.535796,3.789633,0.059101,0.119424,0.033139,0
0.349,0.320638,8.088937,5.371289,-0.019395,0.117744,0.047800,0
0.364,0.080160,9.004789,6.256633,-0.098502,0.061850,0.005040,0
0.390,-0.915853,8.116454,3.154937,0.012981,0.020617,-0.114843,0
0.409,0.065204,8.569296,5.988039,-0.149967,-0.021991,-0.100640,0
0.429,-0.134596,8.319844,4.225127,0.048258,-0.063225,-0.228158,0
0.449,-0.389432,8.475378,5.118846,-0.005192,-0.255494,-0.402713,0
0.469,-0.399601,8.127222,5.692525,0.002596,-0.302225,-0.454331,0
0.489,-0.980459,8.333005,3.999603,0.020311,-0.335976,-0.488845,0
0.512,-1.094716,7.430313,2.764308,0.077885,-0.386983,-0.497549,0
0.530,-1.178465,9.481560,7.056434,0.197004,-0.349567,-0.504880,0
0.551,-1.584049,7.963912,4.168895,-0.046578,-0.393550,-0.452651,0
0.569,-0.410369,9.616755,6.723233,0.049938,-0.362854,-0.423177,0
0.591,-1.731805,8.595019,2.626721,0.207999,-0.380721,-0.507323,0
0.610,-0.531805,8.641679,4.657031,-0.038179,-0.444099,-0.454789,0
0.632,-1.246661,8.653643,5.965905,0.014050,-0.419053,-0.430507,0
0.653,-1.782055,7.741379,5.815157,0.014203,-0.452193,-0.425773,0
0.672,-1.301097,8.630911,3.883551,0.083688,-0.514043,-0.468381,0
0.691,-1.104288,8.338388,3.878167,0.133474,-0.554360,-0.508087,0
0.713,-1.181456,8.047063,5.126623,0.109345,-0.609338,-0.505185,0
0.736,-1.504487,9.006584,4.133601,-0.040623,-0.671188,-0.511141,0
0.753,-1.088136,8.609974,5.422734,0.036499,-0.635452,-0.468686,0
0.776,-1.340579,8.178668,4.735994,0.082925,-0.664621,-0.487623,0
0.794,-0.495912,8.817552,4.866403,0.122784,-0.660498,-0.448222,0
0.813,-1.421935,8.358130,4.184449,0.124158,-0.666912,-0.456316,0
0.836,-1.810170,9.104092,5.417350,0.032070,-0.641561,-0.348956,0
0.855,-2.229512,8.790632,6.576673,0.143095,-0.542448,-0.266948,0
0.876,-2.520839,8.921041,3.137589,0.188757,-0.525344,-0.210290,0
0.897,-1.600798,8.739784,5.230112,0.224646,-0.411112,-0.100640,0
0.916,-2.505285,7.975278,2.784647,0.152105,-0.365755,0.001374,0
0.937,-1.661815,8.601001,5.623732,0.044440,-0.271529,0.163254,0
0.956,-2.684747,8.697910,3.480361,0.205556,-0.168293,0.199600,0
0.977,-2.586641,7.132406,3.111866,0.233350,-0.103083,0.286954,0
1.000,-0.510868,7.233503,-2.320440,0.357967,-0.074220,0.422260,0
