timestamp,yaw,pitch,roll
0.0,4.8576,-3.099,-21.3311
0.1,6.841,0.8859,-20.7367
0.2,7.8178,3.1387,-20.818
0.3,8.0036,4.0377,-21.3648
0.4,7.6139,3.9612,-22.1667
0.5,6.8643,3.2874,-23.0134
0.6,6.0604,2.5094,-23.4178
0.7,5.5227,2.3884,-23.3926
0.8,5.2066,2.1171,-23.0132
0.9,5.1122,2.8967,-22.4493
1.0,5.2167,4.2444,-21.5606
1.1,4.8875,5.8005,-20.7133
1.2,4.4614,7.1732,-20.1253
1.3,3.7583,8.7103,-20.1527
1.4,3.039,10.0359,-19.968
1.5,1.45,11.1106,-19.2075
1.6,0.1156,12.4741,-18.1384
1.7,-1.1777,13.7071,-16.9162
1.8,-2.2086,14.3652,-15.7008
1.9,-3.3356,14.0427,-14.5544
2.0,-4.3056,12.8518,-13.495
2.1,-4.8192,11.3587,-12.9995
2.2,-4.8695,9.501,-13.2586
2.3,-4.441,7.451,-14.1399
2.4,-3.456,5.9807,-15.364
2.5,-2.0777,4.5142,-16.6759
2.6,-0.1766,3.7755,-18.168
2.7,1.745,3.2617,-19.9107
2.8,3.6201,2.7398,-21.1492
2.9,4.371,1.9637,-21.6756
3.0,4.2234,1.2575,-21.0389
3.1,3.3092,1.6134,-19.717
3.2,-0.201,2.2299,-17.9289
3.3,-4.407,2.7876,-15.7256
3.4,-7.9703,4.3945,-14.1035
3.5,-9.8665,5.9185,-13.2439
3.6,-10.6109,7.2895,-13.2341
3.7,-9.84,7.9109,-14.2969
3.8,-7.8188,7.6152,-15.5271
3.9,-5.3096,6.5671,-17.1516
4.0,-2.7635,4.6394,-18.3587
4.1,-0.8034,2.5643,-19.3752
4.2,-0.8147,0.1741,-20.1619
4.3,-0.8719,-1.945,-20.63
4.4,-0.5584,-3.4866,-21.2001
4.5,-0.1763,-4.3856,-21.9081
4.6,0.0262,-5.6467,-22.3867
4.7,0.2528,-6.4086,-22.8591
4.8,0.3287,-7.1712,-23.2615
4.9,0.4077,-7.9712,-23.7234
5.0,0.3817,-8.6578,-24.0609
5.1,0.8681,-9.0965,-24.027
5.2,1.1197,-9.5465,-24.2915
5.3,1.5328,-10.0804,-24.2937
5.4,1.6934,-10.6397,-23.9971
5.5,1.4795,-10.928,-23.5114
5.6,1.1118,-11.4736,-22.6541
5.7,0.6374,-11.6176,-21.9441
5.8,-0.0492,-12.0864,-21.357
5.9,-0.3575,-12.2647,-20.6038
6.0,-0.4225,-12.2127,-20.0927
6.1,0.1622,-12.1441,-19.5221
6.2,0.374,-12.3051,-19.7717
6.3,1.0621,-12.1687,-19.7364
6.4,1.4523,-11.9578,-20.2255
6.5,1.8786,-11.76,-21.0298
6.6,2.2836,-11.5982,-21.7452
6.7,2.3645,-11.7342,-22.4415
6.8,2.4432,-11.9032,-22.7722
6.9,2.0605,-12.114,-22.7092
7.0,1.2453,-12.3678,-22.4263
7.1,0.4472,-12.4253,-21.8496
7.2,-0.2458,-12.6496,-21.0149
7.3,-0.2849,-12.0784,-19.716
7.4,-0.1406,-11.1415,-18.9197
7.5,0.5605,-10.4418,-18.3703
7.6,1.6239,-9.5915,-17.9424
7.7,2.504,-8.9854,-17.67
7.8,3.5808,-8.0754,-17.5395
7.9,3.9681,-7.6269,-18.0229
8.0,4.7609,-7.1767,-18.6085
8.1,5.2447,-6.76,-19.4652
8.2,5.4651,-6.5026,-20.4564
8.3,5.2534,-6.1818,-21.2784
8.4,4.946,-5.4822,-21.9748
8.5,4.8945,-5.6987,-22.4578
8.6,4.8423,-5.7617,-22.8085
8.7,4.5951,-6.0108,-23.1504
8.8,4.3948,-6.1516,-23.5837
8.9,4.2623,-6.6465,-23.9432
9.0,4.6535,-7.0068,-24.1962
9.1,4.4786,-7.3927,-24.6761
9.2,4.2322,-7.7011,-25.1959
9.3,3.7387,-8.0778,-25.4517
9.4,3.568,-8.0415,-25.2812
9.5,3.1128,-8.5591,-24.8884
9.6,2.3654,-9.1637,-24.143
9.7,1.8987,-9.5541,-23.1289
9.8,1.4717,-9.6083,-22.1065
9.9,1.4677,-9.3058,-20.9552
10.0,1.9074,-9.284,-20.0035
10.1,2.1147,-8.8406,-19.3444
10.2,2.7619,-8.1913,-18.9121
10.3,3.5215,-7.3929,-18.9177
10.4,3.9456,-6.6743,-19.2254
10.5,3.9213,-6.5026,-19.7187
10.6,3.7875,-6.5602,-19.8279
10.7,3.5103,-6.7143,-19.7818
10.8,2.8304,-7.0237,-19.7697
10.9,2.3034,-7.92,-19.4351
11.0,1.7356,-9.1397,-18.8453
11.1,0.7926,-9.8566,-18.1297
11.2,0.2907,-10.3357,-17.3131
11.3,0.1285,-10.66,-16.8616
11.4,0.2155,-10.1747,-17.2915
11.5,0.6416,-9.8865,-18.378
11.6,1.1281,-9.19,-19.7955
11.7,1.7566,-8.6627,-21.5678
11.8,2.1474,-8.4013,-23.318
11.9,2.7797,-8.4523,-24.5095
12.0,3.1127,-8.3831,-25.0483
12.1,3.3836,-8.7217,-24.7232
12.2,3.5288,-9.2416,-23.863
12.3,3.6238,-9.754,-22.5236
12.4,3.6345,-9.5109,-21.3411
12.5,3.4663,-9.452,-20.3033
12.6,3.534,-9.3058,-19.4472
12.7,3.5384,-8.8385,-18.9526
12.8,3.0773,-8.7126,-18.9441
12.9,2.8545,-8.4491,-19.3172
13.0,3.3791,-9.1929,-19.9121
13.1,5.4631,-10.693,-20.3199
13.2,7.6972,-12.2027,-21.037
13.3,10.9237,-13.3791,-21.5652
13.4,14.6652,-14.0104,-22.1011
13.5,18.4432,-14.376,-22.5129
13.6,21.8096,-14.438,-22.716
13.7,24.0794,-13.8295,-22.7763
13.8,25.0948,-13.3479,-22.9064
13.9,25.3826,-12.6046,-23.055
14.0,25.5956,-12.5466,-23.0653
14.1,25.8678,-12.4262,-22.8497
14.2,25.3716,-12.2563,-22.908
14.3,25.3722,-12.0674,-22.9049
14.4,25.3728,-11.8785,-22.9018
14.5,25.3734,-11.6896,-22.8987
14.6,25.374,-11.5007,-22.8956
14.7,25.3746,-11.3118,-22.8925
