Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Label
0.0,-1.034746,8.453693,4.610072,0.020808,-0.066241,-0.024282,0.0
0.1,-1.00032,8.846744,4.077489,-0.016921,-0.061606,-0.025778,0.0
0.2,-0.718804,8.450851,4.431268,0.064049,0.01011,0.003787,0.0
0.3,-0.443151,8.600761,4.653681,-0.011362,0.07028,-0.002932,0.0
0.4,-0.367777,8.364949,5.004828,-0.016799,-0.195782,-0.334937,0.0
0.5,-1.199881,8.617512,4.667918,0.09725,-0.374735,-0.477116,0.0
0.6,-1.193181,8.4012,4.839962,0.041447,-0.47675,-0.457507,0.0
0.7,-1.122114,8.531968,4.857071,0.062186,-0.648219,-0.484171,0.0
0.8,-1.916651,8.782736,4.909235,0.142545,-0.557475,-0.27663,0.0
0.9,-2.359622,8.101649,3.750152,0.158863,-0.227165,0.162795,0.0
1.0,-1.814717,8.620622,4.695675,-0.149509,0.048839,0.543364,0.0
1.1,-1.430789,8.230233,4.475655,0.085185,0.420153,0.728945,0.0
1.2,-0.183051,7.985567,5.111548,-0.07028,0.428735,0.581818,0.0
1.3,-0.280319,8.322836,5.131767,-0.023885,0.058124,0.059162,0.0
1.4,-0.619023,8.228797,4.357928,0.009255,-0.115118,-0.065149,0.0
1.5,-1.931008,9.250174,4.167579,0.004306,0.134604,0.248317,0.0
1.6,-0.847658,8.372845,4.557131,-0.080726,0.458209,0.568929,0.0
1.7,-0.479522,8.360881,4.841278,-0.05284,0.606833,0.5364,0.0
1.8,0.170609,8.176036,4.929932,-0.073945,0.550878,0.309159,0.0
1.9,0.085663,8.027441,4.285306,-0.042974,0.4127,0.018967,0.0
2.0,-0.207458,8.313264,5.201279,-0.048686,0.1029,-0.329531,0.0
2.1,0.47007,8.623852,4.743292,0.049816,-0.202105,-0.619112,0.0
2.2,0.09018,8.262118,4.902296,0.02894,-0.336739,-0.712154,0.0
2.3,-1.045903,8.509356,5.348078,0.050366,-0.485973,-0.767093,0.0
2.4,-1.116013,8.714541,5.016194,0.059162,-0.542326,-0.611934,0.0
2.5,-1.614677,8.347482,5.261578,0.050213,-0.392206,-0.313587,0.0
2.6,-1.562752,8.249615,5.054718,0.058857,-0.335701,-0.156901,0.0
2.7,-1.092204,8.405747,4.753462,0.138544,-0.271224,-0.077091,0.0
2.8,-1.731207,8.286584,4.885545,0.062553,-0.196851,0.056994,0.0
2.9,-1.42361,8.156056,4.490251,0.009957,-0.004856,0.269452,0.0
3.0,-1.007618,8.21791,5.381937,0.023885,0.013928,0.20238,0.0
